"animal","mdf","regis","manual_regis"
"MG1020",TRUE,FALSE,0
"MG1021",TRUE,FALSE,0
"MG1042",TRUE,FALSE,0
"MG1056",TRUE,FALSE,0
"MG1057",FALSE,FALSE,0
"MG1063",FALSE,FALSE,0
"MG1064",FALSE,FALSE,0
"MG1065",FALSE,FALSE,0
"MG1066",FALSE,FALSE,0
"MG1067",TRUE,TRUE,30
"MG1068",FALSE,FALSE,0
"MG1069",TRUE,FALSE,0
"MG1070",FALSE,FALSE,0
"MG1071",FALSE,FALSE,0
"MG1072",FALSE,FALSE,0
"MG1073",FALSE,FALSE,0
"MG1074",TRUE,FALSE,0
"MG1092",TRUE,FALSE,0
"MG775",TRUE,TRUE,13
"MG776",TRUE,TRUE,16
"MG785",TRUE,TRUE,13
"MG837",TRUE,TRUE,16
"MG838",TRUE,TRUE,14
"MG846",TRUE,TRUE,20
"MG847",TRUE,TRUE,11
"MG857",TRUE,TRUE,19
"MG858",TRUE,TRUE,20
"MG859",TRUE,TRUE,19
"MG860",TRUE,TRUE,23
"MG864",FALSE,FALSE,0
"MG865",TRUE,TRUE,16
"MG872",TRUE,TRUE,20
"MG873",TRUE,TRUE,17
"MG874",TRUE,TRUE,22
"MG883",TRUE,TRUE,18
"MG884",TRUE,TRUE,20
"MG886",TRUE,TRUE,20
"MG887",TRUE,TRUE,14
"MG917",TRUE,FALSE,0
"MG918",TRUE,TRUE,22
"MG919",TRUE,TRUE,27
"MG920",TRUE,TRUE,28
"MG924",TRUE,FALSE,0
"MG925",TRUE,TRUE,30
"MG926",TRUE,TRUE,0
"MG927",TRUE,TRUE,0
"MG936",FALSE,FALSE,0
"MG939",FALSE,FALSE,0
"MG940",FALSE,FALSE,0
"MG942",TRUE,FALSE,0
"MG943",TRUE,FALSE,0
"MG951",TRUE,FALSE,0
"MG953",FALSE,FALSE,0
